timestamp,nodes,messages,lookups,avg_lookup_ms
1763754875,1,3,2,50.00
1763754905,1,5,4,50.00
1763754935,1,8,7,50.00
1763754965,1,11,10,50.00
1763754995,1,14,13,50.00
1763755025,1,18,17,50.00
1763755055,1,21,20,50.00
1763755085,1,23,22,50.00
1763755115,1,27,26,50.00
1763755145,1,29,28,50.00
1763755175,1,33,32,50.00
1763755205,1,35,34,50.00
1763755235,1,38,37,50.00
1763755265,1,42,41,50.00
1763755295,1,45,44,50.00
1763755325,1,47,46,50.00
1763755355,1,50,49,50.00
1763755379,1,53,52,50.00
1763755379,1,53,52,0.00
