timestamp,nodes,messages,lookups,avg_lookup_ms
1763712612,1,3,2,50.00
1763712642,1,5,4,50.00
1763712672,1,9,8,50.00
1763712702,1,12,11,50.00
1763712732,1,15,14,50.00
1763712762,1,18,17,50.00
1763712792,1,20,19,50.00
1763712822,1,24,23,50.00
1763712852,1,27,26,50.00
1763712882,1,30,29,50.00
1763712912,1,33,32,50.00
1763712942,1,35,34,50.00
1763712972,1,38,37,50.00
1763713002,1,42,41,50.00
1763713032,1,45,44,50.00
1763713062,1,48,47,50.00
1763713092,1,51,50,50.00
1763713122,1,54,53,50.00
1763713152,1,57,56,50.00
1763713182,1,60,59,50.00
1763713212,1,63,62,50.00
1763713242,1,66,65,50.00
1763713272,1,69,68,50.00
1763713302,1,71,70,50.00
1763713332,1,74,73,50.00
1763713362,1,78,77,50.00
1763713392,1,81,80,50.00
1763713422,1,84,83,50.00
1763713452,1,87,86,50.00
1763713482,1,89,88,50.00
1763713512,1,93,92,50.00
1763713542,1,96,95,50.00
1763713572,1,99,98,50.00
1763713602,1,101,100,50.00
1763713632,1,104,103,50.00
1763713662,1,107,106,50.00
1763713692,1,110,109,50.00
1763713722,1,113,112,50.00
1763713752,1,117,116,50.00
1763713782,1,119,118,50.00
1763713812,1,122,121,50.00
1763713842,1,126,125,50.00
1763713872,1,128,127,50.00
1763713902,1,132,131,50.00
1763713932,1,135,134,50.00
1763713962,1,138,137,50.00
1763713992,1,141,140,50.00
1763714022,1,144,143,50.00
1763714052,1,147,146,50.00
1763714082,1,150,149,50.00
1763714112,1,153,152,50.00
1763714142,1,156,155,50.00
1763714172,1,159,158,50.00
1763714202,1,162,161,50.00
1763714232,1,165,164,50.00
1763714262,1,168,167,50.00
1763714292,1,171,170,50.00
1763714322,1,174,173,50.00
1763714352,1,177,176,50.00
1763714382,1,180,179,50.00
1763714412,1,183,182,50.00
1763714442,1,185,184,50.00
1763714472,1,189,188,50.00
1763714502,1,192,191,50.00
1763714532,1,195,194,50.00
1763714562,1,198,197,50.00
1763714592,1,201,200,50.00
1763714622,1,204,203,50.00
1763714652,1,207,206,50.00
1763714682,1,210,209,50.00
1763714712,1,213,212,50.00
1763714742,1,216,215,50.00
1763714772,1,219,218,50.00
1763714802,1,222,221,50.00
1763714832,1,225,224,50.00
1763714862,1,228,227,50.00
1763714892,1,231,230,50.00
1763714922,1,234,233,50.00
1763714952,1,237,236,50.00
1763714982,1,240,239,50.00
1763715012,1,243,242,50.00
1763715042,1,246,245,50.00
1763715072,1,249,248,50.00
1763715102,1,252,251,50.00
1763715132,1,255,254,50.00
1763715162,1,258,257,50.00
1763715192,1,261,260,50.00
1763715222,1,264,263,50.00
1763715252,1,267,266,50.00
1763715282,1,270,269,50.00
1763715312,1,273,272,50.00
1763715342,1,276,275,50.00
1763715372,1,278,277,50.00
1763715402,1,282,281,50.00
1763715432,1,284,283,50.00
1763715462,1,288,287,50.00
1763715492,1,291,290,50.00
1763715522,1,294,293,50.00
1763715552,1,297,296,50.00
1763715582,1,300,299,50.00
1763715612,1,302,301,50.00
1763715642,1,306,305,50.00
1763715672,1,309,308,50.00
1763715702,1,312,311,50.00
1763715732,1,315,314,50.00
1763715762,1,318,317,50.00
1763715792,1,321,320,50.00
1763715822,1,324,323,50.00
1763715852,1,327,326,50.00
1763715882,1,330,329,50.00
1763715912,1,333,332,50.00
1763715942,1,336,335,50.00
1763715972,1,339,338,50.00
1763716002,1,342,341,50.00
1763716032,1,344,343,50.00
1763716062,1,348,347,50.00
1763716092,1,351,350,50.00
1763716122,1,354,353,50.00
1763716152,1,356,355,50.00
1763716182,1,360,359,50.00
1763716212,1,363,362,50.00
1763716242,1,366,365,50.00
1763716272,1,369,368,50.00
1763716302,1,372,371,50.00
1763716332,1,375,374,50.00
1763716362,1,378,377,50.00
1763716392,1,381,380,50.00
1763716422,1,384,383,50.00
1763716452,1,386,385,50.00
1763716482,1,390,389,50.00
1763716512,1,393,392,50.00
1763716542,1,396,395,50.00
1763716572,1,398,397,50.00
1763716602,1,402,401,50.00
1763716632,1,405,404,50.00
1763716662,1,408,407,50.00
1763716692,1,411,410,50.00
1763716722,1,414,413,50.00
1763716752,1,417,416,50.00
1763716782,1,420,419,50.00
1763716812,1,423,422,50.00
1763716842,1,425,424,50.00
1763716872,1,429,428,50.00
1763716902,1,432,431,50.00
1763716932,1,435,434,50.00
1763716962,1,438,437,50.00
1763716992,1,441,440,50.00
1763717022,1,443,442,50.00
1763717052,1,447,446,50.00
1763717082,1,450,449,50.00
1763717112,1,453,452,50.00
1763717142,1,456,455,50.00
1763717172,1,459,458,50.00
1763717202,1,462,461,50.00
1763717232,1,465,464,50.00
1763717262,1,467,466,50.00
1763717292,1,471,470,50.00
1763717322,1,474,473,50.00
1763717352,1,477,476,50.00
1763717382,1,480,479,50.00
1763717412,1,483,482,50.00
1763717442,1,486,485,50.00
1763717472,1,489,488,50.00
1763717502,1,492,491,50.00
1763717532,1,494,493,50.00
1763717562,1,498,497,50.00
1763717592,1,500,499,50.00
1763717622,1,503,502,50.00
1763717652,1,507,506,50.00
1763717682,1,510,509,50.00
1763717712,1,513,512,50.00
1763717742,1,516,515,50.00
1763717772,1,519,518,50.00
1763717802,1,521,520,50.00
1763717832,1,525,524,50.00
1763717862,1,528,527,50.00
1763717892,1,531,530,50.00
1763717922,1,534,533,50.00
1763717952,1,537,536,50.00
1763717982,1,540,539,50.00
1763718012,1,543,542,50.00
1763718042,1,546,545,50.00
1763718072,1,549,548,50.00
1763718102,1,552,551,50.00
1763718132,1,555,554,50.00
1763718162,1,558,557,50.00
1763718192,1,561,560,50.00
1763718222,1,564,563,50.00
